School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,307500011035,Ps 35,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0
2009-2010,307500011079,Ps 79 Horan School,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,327,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2009-2010,307500011094,Ps 94,Elementary,Nyc Special Schools - District 75,New York City,Public,202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2
2009-2010,307500011138,Ps 138,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,426,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,307500011169,Ps 169 Robert F Kennedy,K-12 School,Nyc Special Schools - District 75,New York City,Public,281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2009-2010,307500011226,Ps 226,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,272,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,307500011401,Hospital Schools,K-12 School,Nyc Special Schools - District 75,New York City,Public,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500011721,Ps 721 Manhattan Occupational Training Center,Senior High,Nyc Special Schools - District 75,New York City,Public,252,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
2009-2010,307500011751,Manhattan School For Career Development,Senior High,Nyc Special Schools - District 75,New York City,Public,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,307500011811,Ps 811 Mickey Mantle School,Elementary,Nyc Special Schools - District 75,New York City,Public,360,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500012010,Ps 10,Elementary,Nyc Special Schools - District 75,New York City,Public,442,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
2009-2010,307500012012,Ps 12 Lewis And Clark School,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,295,0,0,0,0,0,3,0,1,0,2,0,0,0,0,14,0,3,3,11,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2009-2010,307500012017,Ps 17,Elementary,Nyc Special Schools - District 75,New York City,Public,366,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,1,12,0,2,0,0,0,0,0,0,0,2,0,0,0,5,2,1,0
2009-2010,307500012168,Ps 168,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,394,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
2009-2010,307500012176,Ps 176,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,657,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,307500012186,Ps 186 Walter J Damrosch School,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2009-2010,307500012188,Ps 188,Elementary,Nyc Special Schools - District 75,New York City,Public,396,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,307500012352,Vida Bogart School For All Children,Elementary,Nyc Special Schools - District 75,New York City,Public,290,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,307500012721,Ps 721 Steven Mcsweeney School,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,307500012723,Ps 723,K-12 School,Nyc Special Schools - District 75,New York City,Public,392,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2009-2010,307500012754,Jm Rapport School For Career Development,Senior High,Nyc Special Schools - District 75,New York City,Public,645,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,1,1
2009-2010,307500012811,Ps 811,Senior High,Nyc Special Schools - District 75,New York City,Public,642,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009-2010,307500013004,Ps 4,Elementary,Nyc Special Schools - District 75,New York City,Public,332,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,307500013036,Ps 36,K-12 School,Nyc Special Schools - District 75,New York City,Public,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
2009-2010,307500013053,Ps 53,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
2009-2010,307500013077,Ps 77,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500013140,Ps 140,Elementary,Nyc Special Schools - District 75,New York City,Public,284,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,1,18,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,2
2009-2010,307500013141,Ps 141,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,391,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,8,0,2,0,0,0,2,0,0,0,0,0,0,1,8,0,1,4
2009-2010,307500013231,Ps 231,Elementary,Nyc Special Schools - District 75,New York City,Public,271,0,0,0,0,0,4,0,0,0,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2009-2010,307500013368,Ps 368,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,273,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1
2009-2010,307500013369,Ps 369 Coy L Cox School,K-12 School,Nyc Special Schools - District 75,New York City,Public,571,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,307500013370,Ps 370,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-2010,307500013371,Ps 371 Lillian L Rashkis,Senior High,Nyc Special Schools - District 75,New York City,Public,360,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,15,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3
2009-2010,307500013372,Ps 372 The Children'S School,Elementary,Nyc Special Schools - District 75,New York City,Public,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500013373,Ps 373 Brooklyn Transition Center,Senior High,Nyc Special Schools - District 75,New York City,Public,339,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
2009-2010,307500013396,Ps 396,Elementary,Nyc Special Schools - District 75,New York City,Public,270,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,307500013721,Ps 721 Brooklyn Occupational Training Center,Senior High,Nyc Special Schools - District 75,New York City,Public,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2009-2010,307500013753,Ps 753 School For Career Development,Senior High,Nyc Special Schools - District 75,New York City,Public,339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
2009-2010,307500013771,Ps 771,K-12 School,Nyc Special Schools - District 75,New York City,Public,374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
2009-2010,307500013811,Ps 811 Connie Lekas School,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,387,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2009-2010,307500014004,Ps 4,Elementary,Nyc Special Schools - District 75,New York City,Public,438,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2009-2010,307500014009,Ps 9,Elementary,Nyc Special Schools - District 75,New York City,Public,434,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,0,3,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0
2009-2010,307500014023,Ps 23 At Queens Children Center,K-12 School,Nyc Special Schools - District 75,New York City,Public,374,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2009-2010,307500014075,Robert E Peary School,K-12 School,Nyc Special Schools - District 75,New York City,Public,346,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2009-2010,307500014177,Ps 177,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,490,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-2010,307500014224,Ps 224,Elementary,Nyc Special Schools - District 75,New York City,Public,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500014233,Ps 233,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009-2010,307500014255,Ps 255,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,404,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500014256,Ps 256,K-12 School,Nyc Special Schools - District 75,New York City,Public,411,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2009-2010,307500014721,John F Kennedy Jr School,Senior High,Nyc Special Schools - District 75,New York City,Public,433,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0
2009-2010,307500014752,Queens Transition Center,Senior High,Nyc Special Schools - District 75,New York City,Public,402,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,17,0,5,0,0,0,2,0,1,0,0,0,0,1,1,1,0,6
2009-2010,307500014811,Ps 811,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500014993,Ps 993,K-12 School,Nyc Special Schools - District 75,New York City,Public,397,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,307500015025,South Richmond High School Is/Ps 25,Junior Senior School,Nyc Special Schools - District 75,New York City,Public,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1
2009-2010,307500015037,Ps 37,Elementary,Nyc Special Schools - District 75,New York City,Public,315,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,307500015373,Ps 373,Elementary,Nyc Special Schools - District 75,New York City,Public,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,307500015721,The Richard H Hungerford School,Junior High School,Nyc Special Schools - District 75,New York City,Public,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100010015,Ps 15 Roberto Clemente,Elementary,New York City Geographic District # 1,New York City,Public,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,310100010019,Ps 19 Asher Levy,Elementary,New York City Geographic District # 1,New York City,Public,321,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2009-2010,310100010020,Ps 20 Anna Silver,Elementary,New York City Geographic District # 1,New York City,Public,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2009-2010,310100010034,Ps 34 Franklin D Roosevelt,Elementary,New York City Geographic District # 1,New York City,Public,410,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,1,4,2,29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2009-2010,310100010063,Ps 63 William Mckinley,Elementary,New York City Geographic District # 1,New York City,Public,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
2009-2010,310100010064,Ps 64 Robert Simon,Elementary,New York City Geographic District # 1,New York City,Public,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,310100010110,Ps 110 Florence Nightingale,Elementary,New York City Geographic District # 1,New York City,Public,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100010134,Ps 134 Henrietta Szold,Elementary,New York City Geographic District # 1,New York City,Public,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100010137,Ps 137 John L Bernstein,Elementary,New York City Geographic District # 1,New York City,Public,224,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2009-2010,310100010140,Ps 140 Nathan Straus,Elementary,New York City Geographic District # 1,New York City,Public,416,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2009-2010,310100010142,Ps 142 Amalia Castro,Elementary,New York City Geographic District # 1,New York City,Public,416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,310100010184,Ps 184 Shuang Wen,Elementary,New York City Geographic District # 1,New York City,Public,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
2009-2010,310100010188,Ps 188 The Island School,Elementary,New York City Geographic District # 1,New York City,Public,387,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,22,0,16,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0
2009-2010,310100010301,Technology Arts And Sciences Studio School,Middle School,New York City Geographic District # 1,New York City,Public,230,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,16,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,43
2009-2010,310100010315,The East Village Community School,Elementary,New York City Geographic District # 1,New York City,Public,191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2009-2010,310100010332,University Neighborhood Middle School,Middle School,New York City Geographic District # 1,New York City,Public,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,24,1,5,0,0,0,5,0,1,0,0,0,0,0,3,1,2,6
2009-2010,310100010345,"Collaborative Acad Of Science, Technology And Language Arts Ed",Middle School,New York City Geographic District # 1,New York City,Public,256,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,6,0,0,0,3,0,3,1,0,0,0,0,2,1,0,57
2009-2010,310100010361,The Children'S Workshop School,Elementary,New York City Geographic District # 1,New York City,Public,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,310100010363,Neighborhood School,Elementary,New York City Geographic District # 1,New York City,Public,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100010364,Earth School,Elementary,New York City Geographic District # 1,New York City,Public,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100010378,School For Global Leaders,Middle School,New York City Geographic District # 1,New York City,Public,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,3,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3
2009-2010,310100010839,Tompkins Square Middle School,Middle School,New York City Geographic District # 1,New York City,Public,380,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
2009-2010,310100011292,Henry Street School For International Studies,Junior Senior School,New York City Geographic District # 1,New York City,Public,511,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,4,0,0,27,0,9,0,0,0,5,0,0,0,1,0,0,0,1,0,3,10
2009-2010,310100011448,University Neighborhood High School,Senior High,New York City Geographic District # 1,New York City,Public,533,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,17,0,9,0,0,0,5,0,1,1,0,0,0,1,3,0,2,21
2009-2010,310100011450,East Side Community School,Junior Senior School,New York City Geographic District # 1,New York City,Public,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0
2009-2010,310100011509,Marta Valle High School,Senior High,New York City Geographic District # 1,New York City,Public,352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,19,1,7,0,0,0,1,0,1,0,1,0,0,0,3,0,1,8
2009-2010,310100011515,Lower East Side Preparatory High School,Senior High,New York City Geographic District # 1,New York City,Public,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310100011539,"New Explorations Into Science,Tech And Math High School",K-12 School,New York City Geographic District # 1,New York City,Public,1480,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,15,0,3,0,0,0,2,0,2,0,0,0,0,0,3,2,0,7
2009-2010,310100011650,Cascades High School,Senior High,New York City Geographic District # 1,New York City,Public,226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2009-2010,310100011696,Bard High School Early College,Senior High,New York City Geographic District # 1,New York City,Public,584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11
2009-2010,310200010001,Ps 1 Alfred E Smith,Elementary,New York City Geographic District # 2,New York City,Public,542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,310200010002,Ps 2 Meyer London,Elementary,New York City Geographic District # 2,New York City,Public,799,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010003,Ps 3 Charrette School,Elementary,New York City Geographic District # 2,New York City,Public,625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2009-2010,310200010006,Ps 6 Lillie D Blake,Elementary,New York City Geographic District # 2,New York City,Public,793,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,310200010011,Ps 11 William T Harris,Elementary,New York City Geographic District # 2,New York City,Public,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2009-2010,310200010033,Ps 33 Chelsea Prep,Elementary,New York City Geographic District # 2,New York City,Public,355,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009-2010,310200010040,Ps 40 Augustus Saint-Gaudens,Elementary,New York City Geographic District # 2,New York City,Public,582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,310200010041,Ps 41 Greenwich Village,Elementary,New York City Geographic District # 2,New York City,Public,754,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010042,Ps 42 Benjamin Altman,Elementary,New York City Geographic District # 2,New York City,Public,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010047,American Sign Language & English Secondary School,Senior High,New York City Geographic District # 2,New York City,Public,157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2009-2010,310200010051,Ps 51 Elias Howe,Elementary,New York City Geographic District # 2,New York City,Public,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010059,Ps 59 Beekman Hill International,Elementary,New York City Geographic District # 2,New York City,Public,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2009-2010,310200010077,Ps 77 Lower Lab School,Elementary,New York City Geographic District # 2,New York City,Public,354,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,310200010089,Ps 89,Elementary,New York City Geographic District # 2,New York City,Public,545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2
2009-2010,310200010104,Jhs 104 Simon Baruch,Middle School,New York City Geographic District # 2,New York City,Public,997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010111,Ps 111 Adolph S Ochs,Elementary,New York City Geographic District # 2,New York City,Public,588,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,2,2,47,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2009-2010,310200010114,East Side Middle School,Middle School,New York City Geographic District # 2,New York City,Public,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2009-2010,310200010116,Ps 116 Mary Lindley Murray,Elementary,New York City Geographic District # 2,New York City,Public,788,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,5,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2009-2010,310200010124,Ps 124 Yung Wing,Elementary,New York City Geographic District # 2,New York City,Public,962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,24
2009-2010,310200010126,Ps 126 Jacob August Riis,Elementary,New York City Geographic District # 2,New York City,Public,786,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,42,0,8,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0
2009-2010,310200010130,Ps 130 Hernando De Soto,Elementary,New York City Geographic District # 2,New York City,Public,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16
2009-2010,310200010131,Ms 131,Middle School,New York City Geographic District # 2,New York City,Public,793,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,1,29,0,8,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
